"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a QA Engineer
  I want to validate backend API endpoints
  So that I can confirm data integrity independently of the UI","12089","Validate users list endpoint returns multiple records","","Fri Feb 20 16:53:03 UTC 2026","passed","Fri Feb 20 16:53:15 UTC 2026","","API Health and Data Integrity","Validate users list endpoint returns multiple records",""
"","17126","Add a backpack to the cart","","Fri Feb 20 16:53:03 UTC 2026","passed","Fri Feb 20 16:53:20 UTC 2026","","Shopping Cart Functionality","Add a backpack to the cart",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","8980","Login with multiple user types","","Fri Feb 20 16:53:20 UTC 2026","passed","Fri Feb 20 16:53:29 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","4490","Login with multiple user types","","Fri Feb 20 16:53:20 UTC 2026","passed","Fri Feb 20 16:53:24 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","4550","Successful login with valid credentials","","Fri Feb 20 16:53:18 UTC 2026","passed","Fri Feb 20 16:53:22 UTC 2026","","Login Functionality","Successful login with valid credentials",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","11294","Add a single item to the cart","","Fri Feb 20 16:53:30 UTC 2026","broken","Fri Feb 20 16:53:42 UTC 2026","","Inventory Page Functionality","Add a single item to the cart",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","1227","Navigate to checkout after adding an item","","Fri Feb 20 16:53:31 UTC 2026","failed","Fri Feb 20 16:53:32 UTC 2026","","Inventory Page Functionality","Navigate to checkout after adding an item",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","3631","Failed login with invalid credentials","","Fri Feb 20 16:53:20 UTC 2026","passed","Fri Feb 20 16:53:23 UTC 2026","","Login Functionality","Failed login with invalid credentials",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","3471","Add and then remove an item from the cart","","Fri Feb 20 16:53:21 UTC 2026","failed","Fri Feb 20 16:53:25 UTC 2026","","Inventory Page Functionality","Add and then remove an item from the cart",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","14327","Direct URL access without login redirects to login page","","Fri Feb 20 16:53:03 UTC 2026","passed","Fri Feb 20 16:53:18 UTC 2026","","Dashboard Functionality","Direct URL access without login redirects to login page",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","16381","Multiple user types can access the dashboard","","Fri Feb 20 16:53:03 UTC 2026","passed","Fri Feb 20 16:53:20 UTC 2026","","Dashboard Functionality","Multiple user types can access the dashboard",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","20981","Multiple user types can access the dashboard","","Fri Feb 20 16:53:03 UTC 2026","passed","Fri Feb 20 16:53:24 UTC 2026","","Dashboard Functionality","Multiple user types can access the dashboard",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","16684","Add multiple items to the cart","","Fri Feb 20 16:53:03 UTC 2026","passed","Fri Feb 20 16:53:20 UTC 2026","","Inventory Page Functionality","Add multiple items to the cart",""
"  As a QA Engineer
  I want to validate backend API endpoints
  So that I can confirm data integrity independently of the UI","12140","Validate user API returns 200 and correct data","","Fri Feb 20 16:53:03 UTC 2026","passed","Fri Feb 20 16:53:15 UTC 2026","","API Health and Data Integrity","Validate user API returns 200 and correct data",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","4741","Login with multiple user types","","Fri Feb 20 16:53:20 UTC 2026","passed","Fri Feb 20 16:53:24 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","4203","Login with multiple user types","","Fri Feb 20 16:53:20 UTC 2026","passed","Fri Feb 20 16:53:24 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","16259","Multiple user types can access the dashboard","","Fri Feb 20 16:53:03 UTC 2026","passed","Fri Feb 20 16:53:20 UTC 2026","","Dashboard Functionality","Multiple user types can access the dashboard",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","16739","User can logout from the dashboard","","Fri Feb 20 16:53:03 UTC 2026","passed","Fri Feb 20 16:53:20 UTC 2026","","Dashboard Functionality","User can logout from the dashboard",""
