"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","18666","Multiple user types can access the dashboard","","Fri Feb 20 17:09:04 UTC 2026","passed","Fri Feb 20 17:09:22 UTC 2026","","Dashboard Functionality","Multiple user types can access the dashboard",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","3878","Login with multiple user types","","Fri Feb 20 17:09:23 UTC 2026","passed","Fri Feb 20 17:09:27 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","19400","Add a single item to the cart","","Fri Feb 20 17:09:04 UTC 2026","passed","Fri Feb 20 17:09:23 UTC 2026","","Inventory Page Functionality","Add a single item to the cart",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","5584","Navigate to checkout after adding an item","","Fri Feb 20 17:09:18 UTC 2026","passed","Fri Feb 20 17:09:24 UTC 2026","","Inventory Page Functionality","Navigate to checkout after adding an item",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","16957","Direct URL access without login redirects to login page","","Fri Feb 20 17:09:04 UTC 2026","passed","Fri Feb 20 17:09:21 UTC 2026","","Dashboard Functionality","Direct URL access without login redirects to login page",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","8756","Login with multiple user types","","Fri Feb 20 17:09:23 UTC 2026","passed","Fri Feb 20 17:09:32 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","19317","Add multiple items to the cart","","Fri Feb 20 17:09:04 UTC 2026","passed","Fri Feb 20 17:09:23 UTC 2026","","Inventory Page Functionality","Add multiple items to the cart",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","4106","Failed login with invalid credentials","","Fri Feb 20 17:09:22 UTC 2026","passed","Fri Feb 20 17:09:26 UTC 2026","","Login Functionality","Failed login with invalid credentials",""
"  As a QA Engineer
  I want to validate backend API endpoints
  So that I can confirm data integrity independently of the UI","14285","Validate user API returns 200 and correct data","","Fri Feb 20 17:09:04 UTC 2026","passed","Fri Feb 20 17:09:18 UTC 2026","","API Health and Data Integrity","Validate user API returns 200 and correct data",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","1056","Add and then remove an item from the cart","","Fri Feb 20 17:09:33 UTC 2026","passed","Fri Feb 20 17:09:34 UTC 2026","","Inventory Page Functionality","Add and then remove an item from the cart",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","18857","Multiple user types can access the dashboard","","Fri Feb 20 17:09:04 UTC 2026","passed","Fri Feb 20 17:09:22 UTC 2026","","Dashboard Functionality","Multiple user types can access the dashboard",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","4987","Successful login with valid credentials","","Fri Feb 20 17:09:21 UTC 2026","passed","Fri Feb 20 17:09:26 UTC 2026","","Login Functionality","Successful login with valid credentials",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","19159","User can logout from the dashboard","","Fri Feb 20 17:09:04 UTC 2026","passed","Fri Feb 20 17:09:23 UTC 2026","","Dashboard Functionality","User can logout from the dashboard",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","3850","Login with multiple user types","","Fri Feb 20 17:09:23 UTC 2026","passed","Fri Feb 20 17:09:27 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a QA Engineer
  I want to validate backend API endpoints
  So that I can confirm data integrity independently of the UI","14275","Validate users list endpoint returns multiple records","","Fri Feb 20 17:09:04 UTC 2026","passed","Fri Feb 20 17:09:18 UTC 2026","","API Health and Data Integrity","Validate users list endpoint returns multiple records",""
"","19508","Add a backpack to the cart","","Fri Feb 20 17:09:04 UTC 2026","passed","Fri Feb 20 17:09:23 UTC 2026","","Shopping Cart Functionality","Add a backpack to the cart",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","3851","Login with multiple user types","","Fri Feb 20 17:09:22 UTC 2026","passed","Fri Feb 20 17:09:26 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","23085","Multiple user types can access the dashboard","","Fri Feb 20 17:09:04 UTC 2026","passed","Fri Feb 20 17:09:27 UTC 2026","","Dashboard Functionality","Multiple user types can access the dashboard",""
