"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","33985","User can logout from the dashboard","","Fri Feb 20 18:53:58 UTC 2026","passed","Fri Feb 20 18:54:32 UTC 2026","","Dashboard Functionality","User can logout from the dashboard",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","4350","Failed login with invalid credentials","","Fri Feb 20 18:54:32 UTC 2026","passed","Fri Feb 20 18:54:36 UTC 2026","","Login Functionality","Failed login with invalid credentials",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","4335","Login with multiple user types","","Fri Feb 20 18:54:32 UTC 2026","passed","Fri Feb 20 18:54:36 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a QA Engineer
  I want to validate backend API endpoints
  So that I can confirm data integrity independently of the UI","27404","Validate users list endpoint returns multiple records","","Fri Feb 20 18:53:58 UTC 2026","passed","Fri Feb 20 18:54:26 UTC 2026","","API Health and Data Integrity","Validate users list endpoint returns multiple records",""
"  As a QA Engineer
  I want to validate backend API endpoints
  So that I can confirm data integrity independently of the UI","27448","Validate user API returns 200 and correct data","","Fri Feb 20 18:53:58 UTC 2026","passed","Fri Feb 20 18:54:26 UTC 2026","","API Health and Data Integrity","Validate user API returns 200 and correct data",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","37994","Multiple user types can access the dashboard","","Fri Feb 20 18:53:58 UTC 2026","passed","Fri Feb 20 18:54:36 UTC 2026","","Dashboard Functionality","Multiple user types can access the dashboard",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","8786","Login with multiple user types","","Fri Feb 20 18:54:33 UTC 2026","passed","Fri Feb 20 18:54:41 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","34552","Add multiple items to the cart","","Fri Feb 20 18:53:58 UTC 2026","passed","Fri Feb 20 18:54:33 UTC 2026","","Inventory Page Functionality","Add multiple items to the cart",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","31670","Direct URL access without login redirects to login page","","Fri Feb 20 18:53:58 UTC 2026","passed","Fri Feb 20 18:54:30 UTC 2026","","Dashboard Functionality","Direct URL access without login redirects to login page",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","5104","Successful login with valid credentials","","Fri Feb 20 18:54:30 UTC 2026","passed","Fri Feb 20 18:54:35 UTC 2026","","Login Functionality","Successful login with valid credentials",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","6731","Navigate to checkout after adding an item","","Fri Feb 20 18:54:26 UTC 2026","passed","Fri Feb 20 18:54:33 UTC 2026","","Inventory Page Functionality","Navigate to checkout after adding an item",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","4186","Login with multiple user types","","Fri Feb 20 18:54:32 UTC 2026","passed","Fri Feb 20 18:54:37 UTC 2026","","Login Functionality","Login with multiple user types",""
"","34630","Add a backpack to the cart","","Fri Feb 20 18:53:58 UTC 2026","passed","Fri Feb 20 18:54:33 UTC 2026","","Shopping Cart Functionality","Add a backpack to the cart",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","34179","Add a single item to the cart","","Fri Feb 20 18:53:58 UTC 2026","passed","Fri Feb 20 18:54:33 UTC 2026","","Inventory Page Functionality","Add a single item to the cart",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","1233","Add and then remove an item from the cart","","Fri Feb 20 18:54:43 UTC 2026","passed","Fri Feb 20 18:54:44 UTC 2026","","Inventory Page Functionality","Add and then remove an item from the cart",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","33579","Multiple user types can access the dashboard","","Fri Feb 20 18:53:58 UTC 2026","passed","Fri Feb 20 18:54:32 UTC 2026","","Dashboard Functionality","Multiple user types can access the dashboard",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","33634","Multiple user types can access the dashboard","","Fri Feb 20 18:53:58 UTC 2026","passed","Fri Feb 20 18:54:32 UTC 2026","","Dashboard Functionality","Multiple user types can access the dashboard",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","3866","Login with multiple user types","","Fri Feb 20 18:54:33 UTC 2026","passed","Fri Feb 20 18:54:37 UTC 2026","","Login Functionality","Login with multiple user types",""
